
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.07453416149068323, call frequency: 0.2670807453416149, raise frequency: 0.16770186335403728, fold frequency: 0.4906832298136646
 check frequency: 0.07407407407407407, call frequency: 0.2654320987654321, raise frequency: 0.16666666666666666, fold frequency: 0.49382716049382713
 check frequency: 0.0736196319018405, call frequency: 0.26993865030674846, raise frequency: 0.1656441717791411, fold frequency: 0.49079754601226994
 check frequency: 0.07317073170731707, call frequency: 0.27439024390243905, raise frequency: 0.16463414634146342, fold frequency: 0.4878048780487805
 check frequency: 0.07272727272727272, call frequency: 0.2727272727272727, raise frequency: 0.1696969696969697, fold frequency: 0.48484848484848486
 check frequency: 0.07228915662650602, call frequency: 0.2710843373493976, raise frequency: 0.1686746987951807, fold frequency: 0.4879518072289157
 check frequency: 0.0718562874251497, call frequency: 0.2694610778443114, raise frequency: 0.16766467065868262, fold frequency: 0.49101796407185627
 check frequency: 0.07142857142857142, call frequency: 0.26785714285714285, raise frequency: 0.16666666666666666, fold frequency: 0.49404761904761907
 check frequency: 0.07100591715976332, call frequency: 0.27218934911242604, raise frequency: 0.16568047337278108, fold frequency: 0.4911242603550296
 check frequency: 0.07058823529411765, call frequency: 0.27647058823529413, raise frequency: 0.16470588235294117, fold frequency: 0.48823529411764705
 check frequency: 0.07017543859649122, call frequency: 0.2807017543859649, raise frequency: 0.16374269005847952, fold frequency: 0.4853801169590643
 check frequency: 0.0755813953488372, call frequency: 0.27906976744186046, raise frequency: 0.16279069767441862, fold frequency: 0.48255813953488375
 check frequency: 0.07514450867052024, call frequency: 0.2832369942196532, raise frequency: 0.16184971098265896, fold frequency: 0.4797687861271676
 check frequency: 0.07471264367816093, call frequency: 0.28735632183908044, raise frequency: 0.16091954022988506, fold frequency: 0.47701149425287354
 check frequency: 0.08, call frequency: 0.2857142857142857, raise frequency: 0.16, fold frequency: 0.4742857142857143
 check frequency: 0.07954545454545454, call frequency: 0.2897727272727273, raise frequency: 0.1590909090909091, fold frequency: 0.4715909090909091
 check frequency: 0.0847457627118644, call frequency: 0.288135593220339, raise frequency: 0.15819209039548024, fold frequency: 0.4689265536723164
 check frequency: 0.08426966292134831, call frequency: 0.28651685393258425, raise frequency: 0.15730337078651685, fold frequency: 0.47191011235955055
 check frequency: 0.08379888268156424, call frequency: 0.2905027932960894, raise frequency: 0.1564245810055866, fold frequency: 0.4692737430167598
 check frequency: 0.08333333333333333, call frequency: 0.29444444444444445, raise frequency: 0.15555555555555556, fold frequency: 0.4666666666666667
 check frequency: 0.08287292817679558, call frequency: 0.292817679558011, raise frequency: 0.15469613259668508, fold frequency: 0.4696132596685083
 check frequency: 0.08241758241758242, call frequency: 0.29120879120879123, raise frequency: 0.15384615384615385, fold frequency: 0.4725274725274725
 check frequency: 0.08196721311475409, call frequency: 0.2896174863387978, raise frequency: 0.15300546448087432, fold frequency: 0.47540983606557374
 check frequency: 0.08152173913043478, call frequency: 0.28804347826086957, raise frequency: 0.15217391304347827, fold frequency: 0.4782608695652174
 check frequency: 0.08108108108108109, call frequency: 0.2864864864864865, raise frequency: 0.15135135135135136, fold frequency: 0.4810810810810811
 check frequency: 0.08064516129032258, call frequency: 0.2903225806451613, raise frequency: 0.15053763440860216, fold frequency: 0.478494623655914
 check frequency: 0.08021390374331551, call frequency: 0.2887700534759358, raise frequency: 0.15508021390374332, fold frequency: 0.47593582887700536
 check frequency: 0.0797872340425532, call frequency: 0.2872340425531915, raise frequency: 0.15425531914893617, fold frequency: 0.4787234042553192
 check frequency: 0.07936507936507936, call frequency: 0.2857142857142857, raise frequency: 0.15343915343915343, fold frequency: 0.48148148148148145
 check frequency: 0.07894736842105263, call frequency: 0.2894736842105263, raise frequency: 0.15263157894736842, fold frequency: 0.4789473684210526
 check frequency: 0.07853403141361257, call frequency: 0.2931937172774869, raise frequency: 0.1518324607329843, fold frequency: 0.47643979057591623
 check frequency: 0.078125, call frequency: 0.2916666666666667, raise frequency: 0.15104166666666666, fold frequency: 0.4791666666666667
