
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.1527777777777778, call frequency: 0.37962962962962965, raise frequency: 0.21296296296296297, fold frequency: 0.25462962962962965
 check frequency: 0.15207373271889402, call frequency: 0.3778801843317972, raise frequency: 0.2119815668202765, fold frequency: 0.25806451612903225
 check frequency: 0.15137614678899083, call frequency: 0.3761467889908257, raise frequency: 0.21559633027522937, fold frequency: 0.25688073394495414
 check frequency: 0.1506849315068493, call frequency: 0.3744292237442922, raise frequency: 0.2146118721461187, fold frequency: 0.2602739726027397
 check frequency: 0.15, call frequency: 0.37272727272727274, raise frequency: 0.21363636363636362, fold frequency: 0.2636363636363636
 check frequency: 0.15384615384615385, call frequency: 0.37104072398190047, raise frequency: 0.21266968325791855, fold frequency: 0.26244343891402716
 check frequency: 0.15765765765765766, call frequency: 0.36936936936936937, raise frequency: 0.21171171171171171, fold frequency: 0.26126126126126126
 check frequency: 0.16143497757847533, call frequency: 0.36771300448430494, raise frequency: 0.21076233183856502, fold frequency: 0.2600896860986547
 check frequency: 0.16517857142857142, call frequency: 0.36607142857142855, raise frequency: 0.20982142857142858, fold frequency: 0.25892857142857145
 check frequency: 0.16444444444444445, call frequency: 0.3688888888888889, raise frequency: 0.2088888888888889, fold frequency: 0.2577777777777778
 check frequency: 0.16371681415929204, call frequency: 0.3672566371681416, raise frequency: 0.2079646017699115, fold frequency: 0.2610619469026549
 check frequency: 0.16740088105726872, call frequency: 0.3656387665198238, raise frequency: 0.20704845814977973, fold frequency: 0.2599118942731278
 check frequency: 0.17105263157894737, call frequency: 0.36403508771929827, raise frequency: 0.20614035087719298, fold frequency: 0.25877192982456143
 check frequency: 0.17467248908296942, call frequency: 0.3624454148471616, raise frequency: 0.2052401746724891, fold frequency: 0.2576419213973799
